event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25OCT29ORLDET,KXNBAGAME,Orlando vs Detroit,ORL at DET (Oct 29),,2025-10-29,ORL,DET
KXNBAGAME-25OCT29CLEBOS,KXNBAGAME,Cleveland vs Boston,CLE at BOS (Oct 29),,2025-10-29,CLE,BOS
KXNBAGAME-25OCT29HOUTOR,KXNBAGAME,Houston vs Toronto,HOU at TOR (Oct 29),,2025-10-29,HOU,TOR
KXNBAGAME-25OCT28LACGSW,KXNBAGAME,Los Angeles C vs Golden State,LAC at GSW (Oct 28),,2025-10-28,LAC,GSW
KXNBAGAME-25OCT28SACOKC,KXNBAGAME,Sacramento vs Oklahoma City,SAC at OKC (Oct 28),,2025-10-28,SAC,OKC
KXNBAGAME-25OCT28NYKMIL,KXNBAGAME,New York vs Milwaukee,NYK at MIL (Oct 28),,2025-10-28,NYK,MIL
KXNBAGAME-25OCT28CHAMIA,KXNBAGAME,Charlotte vs Miami,CHA at MIA (Oct 28),,2025-10-28,CHA,MIA
KXNBAGAME-25OCT28PHIWAS,KXNBAGAME,Philadelphia vs Washington,PHI at WAS (Oct 28),,2025-10-28,PHI,WAS
KXNBAGAME-25OCT27PORLAL,KXNBAGAME,Portland vs Los Angeles L,POR at LAL (Oct 27),,2025-10-27,POR,LAL
KXNBAGAME-25OCT27MEMGSW,KXNBAGAME,Memphis vs Golden State,MEM at GSW (Oct 27),,2025-10-27,MEM,GSW
KXNBAGAME-25OCT27DENMIN,KXNBAGAME,Denver vs Minnesota,DEN at MIN (Oct 27),,2025-10-27,DEN,MIN
KXNBAGAME-25OCT27PHXUTA,KXNBAGAME,Phoenix vs Utah,PHX at UTA (Oct 27),,2025-10-27,PHX,UTA
KXNBAGAME-25OCT27OKCDAL,KXNBAGAME,Oklahoma City vs Dallas,OKC at DAL (Oct 27),,2025-10-27,OKC,DAL
KXNBAGAME-25OCT27TORSAS,KXNBAGAME,Toronto vs San Antonio,TOR at SAS (Oct 27),,2025-10-27,TOR,SAS
KXNBAGAME-25OCT27BOSNOP,KXNBAGAME,Boston vs New Orleans,BOS at NOP (Oct 27),,2025-10-27,BOS,NOP
KXNBAGAME-25OCT27BKNHOU,KXNBAGAME,Brooklyn vs Houston,BKN at HOU (Oct 27),,2025-10-27,BKN,HOU
KXNBAGAME-25OCT27ATLCHI,KXNBAGAME,Atlanta vs Chicago,ATL at CHI (Oct 27),,2025-10-27,ATL,CHI
KXNBAGAME-25OCT27ORLPHI,KXNBAGAME,Orlando vs Philadelphia,ORL at PHI (Oct 27),,2025-10-27,ORL,PHI
KXNBAGAME-25OCT27CLEDET,KXNBAGAME,Cleveland vs Detroit,CLE at DET (Oct 27),,2025-10-27,CLE,DET
KXNBAGAME-25OCT26PORLAC,KXNBAGAME,Portland vs Los Angeles C,POR at LAC (Oct 26),,2025-10-26,POR,LAC
KXNBAGAME-25OCT26LALSAC,KXNBAGAME,Los Angeles L vs Sacramento,LAL at SAC (Oct 26),,2025-10-26,LAL,SAC
KXNBAGAME-25OCT26TORDAL,KXNBAGAME,Toronto vs Dallas,TOR at DAL (Oct 26),,2025-10-26,TOR,DAL
